"시도별(1)","규모별(1)","시점",공장수 (개사)
"대전광역시","대기업","2016.1/2",0
"대전광역시","대기업","2016.2/2",0
"대전광역시","대기업","2017.1/2",-2
"대전광역시","중기업","2006.1/2",
"대전광역시","중기업","2006.2/2",6
"대전광역시","중기업","2007.1/2",-4
"대전광역시","중기업","2007.2/2",-3
"대전광역시","중기업","2008.2/2",
"대전광역시","중기업","2009.1/2",11
"대전광역시","중기업","2009.2/2",13
"대전광역시","중기업","2010.1/2",5
"대전광역시","중기업","2010.2/2",10
"대전광역시","중기업","2011.1/2",0
"대전광역시","중기업","2011.2/2",2
"대전광역시","중기업","2012.1/2",0
"대전광역시","중기업","2012.2/2",5
"대전광역시","중기업","2013.1/2",-1
"대전광역시","중기업","2013.2/2",3
"대전광역시","중기업","2014.1/2",-7
"대전광역시","중기업","2014.2/2",7
"대전광역시","중기업","2015.1/2",-1
"대전광역시","중기업","2015.2/2",2
"대전광역시","중기업","2016.1/2",0
"대전광역시","중기업","2016.2/2",1
"대전광역시","중기업","2017.1/2",3
"대전광역시","소기업","2006.1/2",
"대전광역시","소기업","2006.2/2",62
"대전광역시","소기업","2007.1/2",74
"대전광역시","소기업","2007.2/2",47
"대전광역시","소기업","2008.2/2",
"대전광역시","소기업","2009.1/2",48
"대전광역시","소기업","2009.2/2",72
"대전광역시","소기업","2010.1/2",107
"대전광역시","소기업","2010.2/2",145
"대전광역시","소기업","2011.1/2",0
"대전광역시","소기업","2011.2/2",59
"대전광역시","소기업","2012.1/2",44
"대전광역시","소기업","2012.2/2",74
"대전광역시","소기업","2013.1/2",12
"대전광역시","소기업","2013.2/2",79
"대전광역시","소기업","2014.1/2",10
"대전광역시","소기업","2014.2/2",46
"대전광역시","소기업","2015.1/2",-3
"대전광역시","소기업","2015.2/2",75
"대전광역시","소기업","2016.1/2",94
"대전광역시","소기업","2016.2/2",87
"대전광역시","소기업","2017.1/2",90
"울산광역시","대기업","2006.1/2",
"울산광역시","대기업","2006.2/2",0
"울산광역시","대기업","2007.1/2",0
"울산광역시","대기업","2007.2/2",1
"울산광역시","대기업","2008.2/2",
"울산광역시","대기업","2009.1/2",4
"울산광역시","대기업","2009.2/2",1
"울산광역시","대기업","2010.1/2",1
"울산광역시","대기업","2010.2/2",-2
"울산광역시","대기업","2011.1/2",0
"울산광역시","대기업","2011.2/2",1
"울산광역시","대기업","2012.1/2",0
"울산광역시","대기업","2012.2/2",-1
"울산광역시","대기업","2013.1/2",-4
"울산광역시","대기업","2013.2/2",0
"울산광역시","대기업","2014.1/2",3
"울산광역시","대기업","2014.2/2",-1
"울산광역시","대기업","2015.1/2",-2
"울산광역시","대기업","2015.2/2",-1
"울산광역시","대기업","2016.1/2",1
"울산광역시","대기업","2016.2/2",-2
"울산광역시","대기업","2017.1/2",3
"울산광역시","중기업","2006.1/2",
"울산광역시","중기업","2006.2/2",2
"울산광역시","중기업","2007.1/2",4
"울산광역시","중기업","2007.2/2",1
"울산광역시","중기업","2008.2/2",
"울산광역시","중기업","2009.1/2",6
"울산광역시","중기업","2009.2/2",-1
"울산광역시","중기업","2010.1/2",-1
"울산광역시","중기업","2010.2/2",21
"울산광역시","중기업","2011.1/2",0
"울산광역시","중기업","2011.2/2",4
"울산광역시","중기업","2012.1/2",4
"울산광역시","중기업","2012.2/2",-1
"울산광역시","중기업","2013.1/2",11
"울산광역시","중기업","2013.2/2",10
"울산광역시","중기업","2014.1/2",-3
"울산광역시","중기업","2014.2/2",2
"울산광역시","중기업","2015.1/2",4
"울산광역시","중기업","2015.2/2",15
"울산광역시","중기업","2016.1/2",9
"울산광역시","중기업","2016.2/2",0
"울산광역시","중기업","2017.1/2",-4
"울산광역시","소기업","2006.1/2",
"울산광역시","소기업","2006.2/2",43
"울산광역시","소기업","2007.1/2",36
"울산광역시","소기업","2007.2/2",53
"울산광역시","소기업","2008.2/2",
"울산광역시","소기업","2009.1/2",87
"울산광역시","소기업","2009.2/2",37
"울산광역시","소기업","2010.1/2",71
"울산광역시","소기업","2010.2/2",99
"울산광역시","소기업","2011.1/2",0
"울산광역시","소기업","2011.2/2",35
"울산광역시","소기업","2012.1/2",63
"울산광역시","소기업","2012.2/2",71
"울산광역시","소기업","2013.1/2",14
"울산광역시","소기업","2013.2/2",63
"울산광역시","소기업","2014.1/2",23
"울산광역시","소기업","2014.2/2",67
"울산광역시","소기업","2015.1/2",46
"울산광역시","소기업","2015.2/2",100
"울산광역시","소기업","2016.1/2",39
"울산광역시","소기업","2016.2/2",45
"울산광역시","소기업","2017.1/2",19
