city,year,month,pop_sum,pop_0_9,pop_10_19,pop_20_29,pop_30_39,pop_40_49,pop_50_59,pop_60_69,pop_70_79,pop_80_89,pop_90_99,pop_100_
충청북도,2008,12,1519587,158447,211999,210942,238781,257980,186114,131196,92194,28407,3439,88
충청남도,2008,12,2018537,212862,262791,273062,316376,325925,244763,186786,145647,44901,5290,134
전라북도,2008,12,1855772,187075,258021,245069,272978,297898,233316,182817,130746,42667,5012,173
전라남도,2008,12,1919000,185983,252258,233155,260907,303468,242694,219728,163149,51421,6017,220
경상북도,2008,12,2673931,255206,338850,356316,401356,443641,353577,263737,191372,62418,7289,169
경상남도,2008,12,3225255,346853,454277,432445,533583,565042,397813,258931,176530,54694,4964,123
제주특별자치도,2008,12,560618,66572,81957,73354,91726,94759,63501,46947,30185,9628,1925,64
전국,2009,01,49552045,5075485,6817010,7202109,8464800,8683616,6169182,3971033,2348296,733312,84810,2392
서울특별시,2009,01,10207304,927576,1271610,1694987,1890716,1724061,1347523,830979,385011,119659,14754,428
부산광역시,2009,01,3562642,294472,464283,545176,549024,625302,542885,328511,162175,46369,4327,118
대구광역시,2009,01,2493192,242753,367233,362271,407326,457331,322567,193431,106822,30310,3057,91
인천광역시,2009,01,2693123,280942,394913,401416,468373,511810,322424,178835,98726,31951,3636,97
광주광역시,2009,01,1423519,164903,228905,215192,243463,242364,156435,99320,53540,17195,2136,66
대전광역시,2009,01,1481516,164476,222778,225585,259516,261675,175724,97791,54419,17406,2092,54
울산광역시,2009,01,1112579,123297,177000,160040,192539,218214,136237,63353,30834,9969,1080,16
경기도,2009,01,11300278,1323657,1634428,1582816,2115567,2093015,1238487,739047,426008,131486,15340,427
강원도,2009,01,1507799,147475,198087,195966,224999,258451,199361,150761,96444,31985,4149,121
충청북도,2009,01,1519648,157693,211668,210253,238453,258289,187209,131116,92639,28739,3502,87
충청남도,2009,01,2019111,212081,262566,272255,316196,326549,245627,186621,146327,45391,5363,135
전라북도,2009,01,1855171,185992,257648,244365,272725,298479,233859,182632,131301,42973,5027,170
전라남도,2009,01,1918310,184788,252053,232490,260978,303669,243046,219313,163837,51867,6050,219
