city,year,inc_rate
충청남도,2014,0.007150702445899659
충청남도,2015,0.0074558508984989835
충청남도,2016,0.009182494251916529
충청남도,2017,0.009559184385950159
충청남도,2018,0.004493638893219298
충청남도,2019,-0.0012100934871291935
충청남도,2020,-0.0012619431381606372
충청남도,2021,-0.0008354435512196723
충청남도,2022,0.0017836439846605767
충청남도,2023,0.003335787364987075
충청북도,2008,
충청북도,2009,0.005192858322689009
충청북도,2010,0.014435559792023156
충청북도,2011,0.008631660737979496
충청북도,2012,0.0017435503035057032
충청북도,2013,0.004537476335374713
충청북도,2014,0.003942820518689771
충청북도,2015,0.0031787289264333385
충청북도,2016,0.00484421245088229
충청북도,2017,0.0017636063771302446
충청북도,2018,0.003023020109982788
충청북도,2019,0.0004720957047419372
충청북도,2020,0.0005187477304786636
충청북도,2021,-0.002130135672776201
충청북도,2022,-0.0014830098652395263
충청북도,2023,-0.000996202018986092
