시도별,경제활동별,항목,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년
충청북도,서비스업,실질기여도,2.41,1.43,1.09,2.2,2.63,1.71,1.35,1.48,1.03,1.51,0.84,0.82,1.22,0.03,1.84,1.47
충청북도,　도매 및 소매업,명목,1270408,1380484,1426532,1616054,1822740,2015818,2070243,2049131,2111169,2152615,2239023,2264830,2229562,2176688,2206252,2200711
충청북도,　도매 및 소매업,실질,1460748,1489524,1470762,1598658,1767715,1942631,2023848,2048070,2111169,2112940,2165162,2196152,2211563,2203620,2193956,2227395
충청북도,　도매 및 소매업,실질기여도,0.22,0.08,-0.05,0.35,0.42,0.42,0.19,0.05,0.13,0,0.09,0.05,0.02,-0.01,-0.01,0.04
충청북도,　운수 및 창고업,명목,874776,846756,883844,1067780,1016055,1041602,1147316,1237945,1420973,1498490,1419691,1433158,1520690,1428579,1452035,1392112
충청북도,　운수 및 창고업,실질,967468,987449,939476,1189057,1230926,1272784,1319823,1365336,1420973,1456702,1448756,1513642,1535291,1336738,1430922,1508153
충청북도,　운수 및 창고업,실질기여도,0.15,0.06,-0.12,0.66,0.09,0.08,0.08,0.08,0.1,0.06,-0.01,0.1,0.03,-0.28,0.14,0.1
충청북도,　숙박 및 음식점업,명목,751264,778450,839594,803629,794360,828596,856651,917954,1009919,1098885,1132072,1222742,1311645,1100825,1133109,1477225
충청북도,　숙박 및 음식점업,실질,1077715,1050133,1074903,1016998,966549,977969,965448,996810,1009919,1046693,1045128,1107796,1152913,970482,988856,1190676
충청북도,　숙박 및 음식점업,실질기여도,0.11,-0.06,0.05,-0.13,-0.1,0.02,-0.02,0.06,0.02,0.07,0,0.1,0.07,-0.3,0.03,0.31
충청북도,　정보통신업,명목,697964,678942,682768,684049,662058,665420,640848,642133,679275,708959,683470,687480,699002,717002,779127,757527
충청북도,　정보통신업,실질,644481,654987,650993,675913,684047,672488,669723,657471,679275,702732,682754,710455,751216,790841,892219,893064
충청북도,　정보통신업,실질기여도,0.08,0.03,-0.01,0.07,0.02,-0.03,-0.01,-0.02,0.04,0.04,-0.03,0.04,0.06,0.05,0.13,0
충청북도,　금융 및 보험업,명목,1205083,1267549,1277633,1401324,1502286,1534416,1529475,1597163,1628298,1656868,1808899,1969656,1956555,1990004,2188495,2480501
충청북도,　금융 및 보험업,실질,1092301,1159763,1224292,1241799,1268036,1387524,1480091,1552442,1628298,1655814,1741544,1868268,1911035,2001887,2119950,2228578
충청북도,　금융 및 보험업,실질기여도,0.35,0.23,0.21,0.05,0.07,0.33,0.22,0.16,0.16,0.05,0.14,0.2,0.06,0.13,0.17,0.15
충청북도,　부동산업,명목,1759241,1893075,1985356,2057344,2131847,2225563,2262939,2378674,2450247,2566767,2594616,2670804,2671874,2797527,2850416,2914162
충청북도,　부동산업,실질,2205103,2321245,2355918,2404874,2467137,2458297,2408819,2467405,2450247,2521939,2515844,2574220,2553033,2651386,2718186,2733683
충청북도,　부동산업,실질기여도,0.1,0.28,0.08,0.12,0.13,-0.02,-0.1,0.12,-0.03,0.13,-0.01,0.09,-0.03,0.15,0.1,0.02
충청북도,　사업서비스업,명목,1266796,1401389,1471728,1747458,2156163,2379774,2404742,2583390,2739981,3176500,3303588,3153443,3486280,3573637,3806433,4136499
충청북도,　사업서비스업,실질,1606971,1710940,1740645,1968209,2405816,2543844,2526698,2661315,2739981,3121177,3115580,2893056,3121913,3095166,3187858,3324683
충청북도,　사업서비스업,실질기여도,0.59,0.25,0.07,0.54,0.96,0.29,-0.04,0.27,0.15,0.69,-0.01,-0.36,0.36,-0.04,0.15,0.22
